01-01-2000 09:08:13 RAM 11787/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2252,16%@2251,5%@2251,100%@2250,5%@2253,5%@2249,7%@2253,6%@2252] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/4734mW SOC 2772mW/2779mW CV 0mW/0mW VDDRQ 616mW/640mW SYS5V 3662mW/3674mW
01-01-2000 09:08:14 RAM 11798/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2249,17%@2253,6%@2253,100%@2251,6%@2260,5%@2254,6%@2251,6%@2253] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.55C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3543mW/4703mW SOC 2772mW/2779mW CV 0mW/0mW VDDRQ 616mW/640mW SYS5V 3662mW/3674mW
01-01-2000 09:08:15 RAM 11810/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2254,18%@2253,5%@2254,100%@2254,6%@2254,11%@2255,5%@2255,6%@2255] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3851mW/4681mW SOC 2772mW/2779mW CV 0mW/0mW VDDRQ 616mW/639mW SYS5V 3662mW/3674mW
01-01-2000 09:08:16 RAM 11822/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2254,15%@2254,6%@2254,100%@2253,7%@2254,8%@2254,6%@2254,8%@2254] EMC_FREQ 2%@2133 GR3D_FREQ 55%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.1C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3851mW/4660mW SOC 2772mW/2779mW CV 0mW/0mW VDDRQ 616mW/638mW SYS5V 3662mW/3673mW
01-01-2000 09:08:17 RAM 11834/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2254,20%@2252,1%@2251,76%@2258,7%@2249,9%@2252,29%@2254,5%@2254] EMC_FREQ 2%@2133 GR3D_FREQ 48%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3851mW/4641mW SOC 2771mW/2778mW CV 0mW/0mW VDDRQ 616mW/638mW SYS5V 3662mW/3673mW
01-01-2000 09:08:18 RAM 11846/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2253,18%@2249,4%@2250,6%@2252,9%@2256,6%@2254,100%@2251,4%@2247] EMC_FREQ 2%@2133 GR3D_FREQ 6%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3851mW/4622mW SOC 2771mW/2778mW CV 0mW/0mW VDDRQ 616mW/637mW SYS5V 3662mW/3673mW
01-01-2000 09:08:19 RAM 11855/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2253,15%@2265,3%@2248,4%@2252,9%@2252,6%@2254,100%@2255,9%@2255] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.55C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/4600mW SOC 2925mW/2782mW CV 0mW/0mW VDDRQ 770mW/640mW SYS5V 3741mW/3674mW
01-01-2000 09:08:20 RAM 11855/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2255,16%@2254,7%@2253,6%@2258,7%@2253,8%@2251,100%@2254,5%@2253] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3543mW/4576mW SOC 2926mW/2785mW CV 0mW/0mW VDDRQ 770mW/643mW SYS5V 3781mW/3677mW
01-01-2000 09:08:21 RAM 11861/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2253,15%@2251,7%@2253,3%@2258,5%@2253,8%@2252,100%@2254,3%@2251] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/4557mW SOC 2772mW/2785mW CV 0mW/0mW VDDRQ 616mW/643mW SYS5V 3702mW/3677mW
01-01-2000 09:08:22 RAM 11862/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2255,16%@2256,8%@2253,3%@2246,8%@2254,10%@2252,100%@2251,3%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/4538mW SOC 2772mW/2784mW CV 0mW/0mW VDDRQ 616mW/642mW SYS5V 3702mW/3678mW
